"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"NDUFA4",8.1763782885073e-272,-0.511424794453769,0.444,0.852,1.63453978365549e-267,"NDUFA4"
"FGFBP2",4.25938170381792e-270,-3.82424552433915,0.024,0.226,8.51492996410241e-266,"FGFBP2"
"FCGR2A",7.61294257586972e-270,2.88751378527493,0.463,0.192,1.52190335034212e-265,"FCGR2A"
"CIB1",1.02744016988193e-269,-0.880806208802125,0.29,0.612,2.05395564361096e-265,"CIB1"
"MCUB",1.7956962143022e-269,-1.41937948976852,0.204,0.498,3.58977630201153e-265,"MCUB"
"UBB",2.02229424424175e-266,-0.580084067552621,0.488,0.868,4.04276842366367e-262,"UBB"
"SRSF5",7.0090595023976e-266,-0.598992228110265,0.562,0.942,1.4011810851243e-261,"SRSF5"
"RUNX3",3.03809555472922e-265,-1.51993199852372,0.169,0.453,6.07345682345918e-261,"RUNX3"
"CIRBP",7.36382577068585e-265,-0.499174218503667,0.434,0.814,1.47210240981781e-260,"CIRBP"
"IGLC2",3.96830407589283e-264,2.49326255074172,0.329,0.068,7.93303667811736e-260,"IGLC2"
"BCL9L",2.65108838088255e-263,-1.99854525375699,0.105,0.359,5.2997907822223e-259,"BCL9L"
"KRTCAP2",2.79565314517971e-263,-1.15772443108744,0.244,0.551,5.58879020252876e-259,"KRTCAP2"
"CMPK1",1.07142734007299e-262,-0.748695529776157,0.259,0.572,2.14189039553991e-258,"CMPK1"
"PPP1R2",1.3424471370499e-262,-0.6676638436849,0.304,0.628,2.68368607167646e-258,"PPP1R2"
