"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"AIFM1",1.60426957955973e-13,-0.514215662739009,0.094,0.134,3.20709531649786e-09,"AIFM1"
"DDX3X",1.69768175930667e-13,1.04936669160738,0.631,0.768,3.39383560502996e-09,"DDX3X"
"B3GALT6",1.78704232136799e-13,-0.581010077041049,0.066,0.102,3.57247630464674e-09,"B3GALT6"
"IFIH1",2.01222969193205e-13,1.86273775306823,0.223,0.18,4.02264837714137e-09,"IFIH1"
"AIG1",2.07214731374894e-13,1.12207899163931,0.065,0.105,4.1424296949155e-09,"AIG1"
"RAPGEF2",2.13831051098311e-13,2.05877794401518,0.126,0.087,4.27469654250634e-09,"RAPGEF2"
"EHBP1L1",2.30338195752496e-13,1.45448374868679,0.308,0.27,4.60469087128816e-09,"EHBP1L1"
"TMEM164",2.4169380538856e-13,2.1573437471523,0.1,0.064,4.83170086352271e-09,"TMEM164"
"LCP2",2.41891154941145e-13,0.982804382398532,0.346,0.461,4.83564607842842e-09,"LCP2"
"TGFBI",2.50723951228135e-13,-0.62770973688383,0.115,0.158,5.01222250900164e-09,"TGFBI"
"BLZF1",3.00192915631209e-13,0.653116937925355,0.086,0.128,6.00115657638351e-09,"BLZF1"
"DHX40",3.10381969158663e-13,0.605850500555519,0.134,0.185,6.20484594545084e-09,"DHX40"
"PPP2CA",3.50318728970349e-13,0.62226375738059,0.245,0.317,7.00322171084624e-09,"PPP2CA"
"MSL3",3.68419147803692e-13,0.776480379602214,0.323,0.419,7.3650671837436e-09,"MSL3"
"ATF7IP",3.80197390626715e-13,0.818504505920784,0.393,0.519,7.60052603601867e-09,"ATF7IP"
"FMR1",3.80787136343356e-13,0.724044596597481,0.185,0.244,7.61231564264002e-09,"FMR1"
"NORAD",3.82003157705055e-13,0.533941152705188,0.355,0.47,7.63662512568176e-09,"NORAD"
"NUP98",4.29230349791039e-13,0.716732031789223,0.152,0.207,8.58074392267266e-09,"NUP98"
"LY86",4.76588979619429e-13,0.73544735083382,0.204,0.158,9.527490291572e-09,"LY86"
"TFEC",5.00612438327066e-13,1.00311810569863,0.165,0.121,1.00077432545964e-08,"TFEC"
"RPS6KA5",5.16967929271313e-13,0.788153458055378,0.197,0.263,1.03347058740628e-08,"RPS6KA5"
